Filename,Total_TXOP,TXOP_retries,Total_MSDU,Total_MPDU,Total_retry,Total_retry_rate,TXOP_retry_rate,Avg_Backoff,Avg_TXOP,MSDU_per_TXOP,AMPDU_per_TXOP,Most_MSDU_per_TXOP,Most_AMPDU_per_TXOP,House_num,House_type,Location,Distance,Protocol,Traffic,Device,Datarate_avg(Mbps),#DR_R0,#DR_R1,DR_std,Total_data(bytes),R0_Max_MCS,R1_Max_MCS,#frames,sgi,lgi,Throughput_sniffer(Mbps),RSSI_avg(dBm),RSSI_min(dBm),RSSI_max(dBm),RSSI_std,#walls,Captured_datagram,Missed_datagram,#retry0,#retry1,#u_retry1,Transfer(Mbytes),Bitrate(Mbits/sec),Jitter,Total_datagrams,Lost_datagrams,Throughput(iperf),Retry_perc(iperf),Missed_perc(iperf),Ref_RSSI_avg(dBm),Ref_RSSI_min(dBm),Ref_RSSI_std,Ref_RSSI_max(dBm),Ref_#RSSI,#beacons_others,#Int_Devices,Mgnt_overheads,Ctrl Overheads,data0,data1,Unrelated,Other_BSS,Idle,Total_time,Missing_MSDU
mac_5ghz_clean_h8b_l4_udp_ul_redmi_100M,1434,35,68176,4535,44,0.0645388406477353,2.44072524407252,67.6799163179916,13127.8207810321,47.5425383542538,3.16248256624826,59,4,h8b,Empty,l4,205.854317418897,udp,ul,redmi,86.4311023239976,3,2,1.45953246052536,310864486,8,8,105793,102994,2799,82.8971962666667,-60,-60,-60,0,1,207719,783,207650,69,69,276,77.3,0.195ms,207050,0,73.6,0.0333141817023064,0.376744790288356,-60.035580941882,-60,0.19532032420192,-61,2,0,0,180420,673879,18869249,9366,1188,0,266004,20000106,423
mac_5ghz_clean_h8b_l5_udp_ul_redmi_100M,1358,100,30879,4323,453,1.46701641892548,7.36377025036819,124.465390279823,12839.1001472754,22.7385861561119,3.18335787923417,29,4,h8b,Empty,l5,143.66976021418,udp,ul,redmi,43.305567350161,4,5,0.812531114994094,143767460,4,4,48943,48267,676,38.3379893333333,-67,-67,-67,0,3,96060,316,94609,1451,1401,126,35.2,0.197ms,94339,0,33.6,1.51477189685771,0.333843959642914,-68.0096856422901,-67,0.188097931162054,-69,3,0,0,183180,628467,16681422,353650,13528,0,2139803,20000050,195
mac_5ghz_clean_h8b_l6_udp_ul_redmi_100M,1478,77,33360,4651,427,1.27997601918465,5.20974289580514,122.924898511502,12475.6075778078,22.5710419485792,3.1468200270636,29,4,h8b,Empty,l6,404.783892960182,udp,ul,redmi,43.2595201272998,4,5,1.10640961447299,151910276,4,4,51959,49558,2401,40.5094069333333,-66,-66,-66,0,3,101481,1207,99862,1619,1524,134,37.5,0.467ms,100345,0,35.7333333333333,1.58781530736338,1.18855364739247,-60,-60,0,-60,1,0,0,181164,673409,18122170,362719,2364,0,658364,20000190,447
mac_5ghz_clean_h9a_l1_udp_ul_redmi_100M,1434,10,67541,4342,10,0.0148058216490724,0.697350069735007,59.8926080892608,13059.2524407252,47.0997210599721,3.0278940027894,59,4,h9a,Empty,l1,220.410979762806,udp,ul,redmi,86.6667,1,1,1.42109224051176E-14,310253356,8,8,104977,104977,0,82.7342282666667,-45,-45,-45,0,2,207335,1019,207329,6,6,277,77.6,0.184ms,207745,0,73.8666666666667,0.0028880727409254,0.48811097698837,-47.0688771612386,-47,0.265982542124146,-48,2,0,0,179808,660005,18873698,1021,1572,180,283734,20000018,766
mac_5ghz_clean_h9a_l2_udp_ul_redmi_100M,1443,134,56590,4034,694,1.22636508216999,9.28620928620929,71.000693000693,12988.9410949411,39.2169092169092,2.7955647955648,49,3,h9a,Empty,l2,204.120062708201,udp,ul,redmi,72.131027207492,3,4,1.35234201179182,258145286,7,7,87656,86291,1365,68.8387429333333,-63,-63,-63,0,3,172503,763,170231,2272,2166,227,63.6,0.364ms,170248,0,60.5333333333333,1.31694875956411,0.44617012940688,-54.9785462698604,-54,0.137060405054106,-55,2,0,0,180420,631107,18631824,288322,1868,0,266472,20000013,233
mac_5ghz_clean_h9a_l3_udp_ul_redmi_100M,1439,114,56850,4321,965,1.69744942832014,7.9221681723419,81.4801945795692,13104.681028492,39.5066018068103,3.00277970813065,49,4,h9a,Empty,l3,61.6198020120156,udp,ul,redmi,72.4179973989587,4,6,1.89594861398062,259503545,7,7,87866,78449,9417,69.2009453333333,-61.2,-61,-62,0.406838102172486,3,173418,843,171259,2159,1999,229,64,0.222ms,171436,0,61.0666666666667,1.24369941530574,0.489322552371444,-57,-57,0,-57,1,0,0,179304,648944,18557328,328108,168,0,286381,20000233,4387
mac_5ghz_clean_h9a_l4_udp_ul_redmi_100M,1498,1108,18857,4721,2729,14.4720793339343,73.9652870493992,243.618157543391,12049.8010680908,12.5881174899867,3.15153538050734,16,4,h9a,Empty,l4,187.387299462904,udp,ul,redmi,25.5989771359807,2,4,1.56395092163747,86358936,3,3,29532,0,29532,23.0290496,-73,-73,-73,0,3,57700,156,49503,8197,7419,65.3,18.3,1.246ms,48945,0,17.4133333333333,14.3449651744776,0.317712470214456,x,x,x,x,x,x,x,180792,705436,15072844,2929756,848,0,1110569,20000245,54
mac_5ghz_clean_h9a_l5_udp_ul_redmi_100M,1454,370,68531,4579,1387,2.02390159198027,25.4470426409904,64.7441540577717,13058.1458046768,47.1327372764787,3.14924346629986,59,4,h9a,Empty,l5,190.685605120051,udp,ul,redmi,86.474579565901,2,2,2.03119339478922,309127908,8,8,105197,103403,1794,82.4341088,-52.6,-52,-53,0.49827287912244,1,206559,750,201798,4761,4670,269,75.2,0.201ms,201594,35,71.7333333333333,2.30758045754168,0.370720037170862,-53,-53,0,-53,1,0,0,180420,668899,18439049,451845,1020,0,258906,20000139,257
mac_5ghz_clean_h11c_l10_udp_ul_redmi_100M,1343,755,5477,4726,1069,19.5179842979733,56.2174236783321,874.572598659717,12110.8823529412,4.07818317200298,3.51898734177215,4,4,h11c,Empty,l10,303.453456068637,udp,ul,redmi,8.47862675228644,4,5,2.82646475787818,23843340,0,0,9055,1462,7504,6.358224,-73.4,-73,-74,0.49827287912244,3,15746,35,11891,3855,2810,15.2,4.24,3.312ms,11371,8,4.05333333333333,25.3318438691024,0.307071416037901,-85.7755037961566,-83,0.762932648181984,-88,6,13,2,182544,428544,12344145,3157880,7064,173,3879767,20000117,323
mac_5ghz_clean_h11c_l1_udp_ul_redmi_100M,1413,24,56212,4182,168,0.298868568988828,1.69851380042463,76.6716206652512,13276.6650141643,39.7820240622788,2.95966029723991,49,3,h11c,Empty,l1,194.65096968677,udp,ul,redmi,72.2144943127089,3,4,0.349617610967257,258907141,7,7,87325,86838,487,69.0419042666667,-58,-58,-58,0,1,173036,825,172473,563,503,230,64.4,0.213ms,172494,0,61.3333333333333,0.32532633756508,0.476000900074429,-55.0270027655903,-55,0.171081391925185,-56,2,0,0,177816,644121,18844810,65157,2128,752,265314,20000098,272
mac_5ghz_clean_h11c_l2_udp_ul_redmi_100M,1453,526,67323,4624,3015,4.47841005302794,36.200963523744,68.3282863041982,13151.8754301445,46.3337921541638,3.18238128011012,59,4,h11c,Empty,l2,199.809909664161,udp,ul,redmi,84.6204406029341,4,3,5.54488745203587,301567708,8,8,102094,93899,8195,80.4180554666667,-52.4333333333333,-52,-53,0.504006932993731,1,201533,752,192269,9264,8767,256,71.7,0.367ms,191979,0,68.2666666666667,4.60338993157526,0.390181133289403,-53.1755558238498,-53,0.394629064319277,-54,2,0,0,179304,663023,17904455,975995,2278,308,274705,20000068,8475
mac_5ghz_clean_h11c_l3_udp_ul_redmi_100M,1391,118,55733,4102,616,1.10526976835986,8.48310567936736,85.1035226455787,13250.1581595974,40.0668583752696,2.9489575844716,49,3,h11c,Empty,l3,371.952954014348,udp,ul,redmi,72.174746829091,4,4,0.961198282684237,256249948,7,7,87194,86204,990,68.3333194666667,-61.1666666666667,-61,-62,0.379049021789452,1,171230,2961,169304,1926,1872,228,63.7,0.383ms,170578,0,60.8,1.11649584937161,1.706244705801,-63.0036622860442,-63,0.0639308034572365,-64,2,0,0,175584,641067,18436556,260136,1338,244,485366,20000291,676
mac_5ghz_clean_h11c_l4_udp_ul_redmi_100M,1379,3,66159,4193,7,0.0105805710485346,0.217548948513416,60.346627991298,13130.0427846265,47.9760696156635,3.04060913705584,59,4,h11c,Empty,l4,155.621335298217,udp,ul,redmi,86.6667,1,1,0,310791433,8,8,106185,106185,0,82.8777154666667,-36,-36,-36,0,1,207660,954,207650,10,10,277,77.6,0.285ms,207833,0,73.8666666666667,0.0048113239320063,0.456925000119739,-48,-48,0,-48,1,0,0,181164,659832,18885239,1528,1388,44,270892,20000087,321
mac_5ghz_clean_h11c_l5_udp_ul_redmi_100M,1402,29,56063,4091,195,0.347822984856322,2.06847360912981,85.1533523537803,13234.2375178317,39.9878744650499,2.91797432239658,49,3,h11c,Empty,l5,117.660528640662,udp,ul,redmi,72.2109930035504,4,6,0.465520496894045,262148372,7,7,88817,88283,534,69.9062325333333,-55,-55,-55,0,2,175187,663,174485,702,610,230,64.4,0.312ms,172433,0,61.3333333333333,0.405463944320906,0.383024448860748,-62,-62,0,-62,1,0,0,176700,641342,18827170,81207,2088,240,271269,20000016,257
mac_5ghz_clean_h11c_l6_udp_ul_redmi_100M,1381,22,55182,4204,229,0.414990395418796,1.59304851556843,74.664735698769,13458.811006517,39.9580014482259,3.04417089065894,49,4,h11c,Empty,l6,180.277563773199,udp,ul,redmi,72.2313426523214,4,5,0.371921530983213,256587176,7,7,86426,85609,817,68.4232469333333,-55,-55,-55,0,2,171490,2800,170791,699,565,230,64.4,0.201ms,172449,0,61.3333333333333,0.403700880171876,1.59772666320493,-56,-56,0,-56,1,0,0,175212,641873,18604969,80426,1010,480,496204,20000174,952
mac_5ghz_clean_h11c_l7_udp_ul_redmi_100M,1480,74,33653,4690,443,1.31637595459543,5,141.008108108108,12592.397972973,22.7385135135135,3.16891891891892,29,4,h11c,Empty,l7,226.415547169358,udp,ul,redmi,43.2951710514712,3,5,0.807190230493331,151859317,4,4,51798,50956,842,40.4958178666667,-58,-58,-58,0,2,101467,462,99527,1940,1820,132,37,0.191ms,99175,0,35.2,1.91860752608416,0.463683169906761,-57.886286742547,-57,0.303458346766549,-58,2,0,0,181164,680501,18142105,426258,1640,132,568474,20000274,112
